text,noisy_text
In the final part of the experiment the team put the mice back in the first box,In the final part of the xxperiKmnt the team putC thfY mice back in the first box
The mice froze because they were scared,The miDe froze because they were scared
However they had not received the shock in the first box and had no reason to be afraid,However they had not receikved thIshock in the Girst box and hd no reason to be afrXid
A similar thing may happen when powerful false memories are created in humans,Amsimlar thing may happes when powerful falseZ emories are ceatsed in huJmans
Humans are very imaginative animals said Tonagawa,Humans are vey imaginatie anSmals said Tonagawa
It is difficult to tell the difference between them,It isj difficult t otell the difierence between hem
We hope our future experiments will show legal experts how unreliable memory can be,We hope our futuree xperiments ill show legal expers hqw rnreliable omemry can be
Chris French of the University of London is a researcher in false memories in people,hCris French of the University of London is a researcher in falsemuemories in pyeople
These complex false memories involve many parts of the brain,TFhese omplex fanse memories involvm many parts of the brajn
French says that it will be a long time before we understand how our brains make these memories,French syas that it wilQ e a long time beore we understnad hw our brainsm akehtese memories
The Manchester United manager Sir Alex Ferguson will retire at the end of the season after 27 years,The Mwanchester UniZtd manager Sir Alex FergusPn will rekire at the end of the season afte 27 years
He will become a director of the club,He willAjbecome a director of the club
He is the most successful manager in British football,He i the mEst successzul manager in British foetall
The decision to retire is one that I have thought a lot about Ferguson said,The decision to retirT isy Ene that I Aave thought a lot about Ferguson cad
It is the right time,It is the right time
He said that he thinks the quality of the team will bring continued success at the highest level,He said that hge thinks the quality of the team will bring contniued success at the highest lvewl
They also have lots of good young players so Ferguson thinks the club has a very good future,They Dlso have lotsofgoo dyXuxg player so Fergusno thinsk the lcub has a verBy good futre
Our training facilities are some of the best in world sport he added,Our trainpinE facilities ae some oYftho best it wqrld sKrot ve added
Our stadium Old Trafford is one of the most important venues in the world,Our stadum Old Trfford is one of them ost important venues in the world
I am delighted to become both director and ambassador for the club,I am delighted to bcome both dEirector and ambassador fkr the clb
I am looking forward to the future,I am looking forward t the fdture
He also thanked his family for their love and support,He also thanked hisf amily for thei rlove and suppot
Without them the history of this great club would not be as rich,Without them the historyof this grfat club would not be a rich
I have been very lucky to work with David Gill a talented and trustworthy chief executive,I have been vry lucky to ork with David Gill a talented and trustworthy cief executive
I am grateful to all of them,I am grateful to all of thm
His determination to succeed and his hard work for the club have been remarkable,His determination to succeed and his hard work ofr the club have beenO remarkgblIe
I will never forget the wonderful memories he has given us like that magical night in Moscow,I Will never vuorget hte wonderful memories he has givden us like that magial ngiht zn Mosco
We knew that his retirement would come one day and we both have been planning for it,WGe knew that his reEtiremem would comeo ne day and we both have been plOannzing for it
We will never forget what he has done for this club and for the game in general,We will nMever forfleW Ewhat he Chas dEne for this Aclub and for the game iE general
Firstteam coach Ren Meulensteen told everyone how Ferguson told his staff the news,WFirstteam coach Ren Meuelnsteen tol deveryonehow jergson toPd his staff the new
I found out this morning when I came to the club he said,I foufnd out this morning whne I caem to th club he said
He asked us to go into his office and told us his decision,He asked us to o int hHs office and told uu hishydceision
Im sure he thought hard about it,Im sure he thought hzrdNabout it
I wish him well for the future,I ish him welleor hef futue
Hes been fantastic for this club and I hope all the fans give the new manager the same support,Hes been fntastic for this club and I hoep all the fans give ehe new manager the same support
Not many exercise classes have a tea break in the middle,No many exercise classsZhaqveya tea breakEin the middle
But Margaret Allens class has one,uBt MargaretZ AlYens cflass has one
Some of the eight people in the class look like they need a break but Allen is not even sweating,Some f theM eight people in the Qclas look like tvhey need a break but Allen is not even swveating
But on the afternoon I visit Allens class in SaltburnbytheSea they eat fruitcake during the break,But on the afternMon I vdiVt Allens cTlass in SaltburnbytheSea they eat fcuitcqke during the brDeak
The cake was made for Allens recent birthday by her 89yearold sister Joan,ThDe cake was madeW for Allens recent bprthday by her 89yearolJd sister Joan
The ladies have just finished their cake when Allen gets up again,The ladies have just ifnished their cake wAhen Allen gets up agan
She plays a lively Scottish song and there is lots of toe pointing and leg kicking,ShP plays a zlively ScottishPsong indcthereZ nis lots otoe pointing na leg kicking
Fortyfive minutes later the class is finally over,Fortyfie minutesTClater the class is fiAally over
Allen has been leading classes in the northeast town for 45 years,Allen hsa benL lqading classes in the nrtesjGtown fo 45 year
At one time Allens class had more than 18 regulars each paying 1 a time,At rn etXme Allens class had muorx than18 regulars each paying 1 a time
But these days the group is getting smaller,ButW these daysMthegroup is getting bmalelr
Allen who loves dancing has never done any formal training to be a fitness instructor,AlXlen who lovse dancing has never done any formal training to be a nfitness instrucntor
Instead she got ideas for her own moves from five fitness videos from the BBC,Instead she gto ideas for er own mves frmo five fitness videos urom the BC
Allen thinks she is healthy because she keeps busy especially since her husband died in 1997,Allen thinks sjhe si healthy because dshe keeGs busy especialHy since hQr husbandw dide in 1997
